cadence_hours,compatible_feasible_cases,median_occupation_width_fraction,median_deficit_width_fraction_unconstrained,median_deficit_width_fraction_nonnegative,median_deficit_width_fraction_reduction,maximum_deficit_width_fraction_nonnegative,containment_failures
0.5,16,0.41044653756991356,0.07423376340624105,0.07423376340624105,0.0,0.15935080669103613,0
1.0,32,0.6982782320085307,0.3323330196325094,0.33073427590297755,0.0015987437295318374,0.4617598664782216,0
2.0,64,0.8490663644280211,0.9568858206721231,0.6599255528197319,0.2969602678523912,0.7308857726033766,0
4.0,128,0.925050122411297,2.2625421555435743,0.8305801939832262,1.4319619615603483,0.8666189130696117,0
