dataset_id,block_index,block_start,block_end,threshold_mgL,cadence_hours,phase_index,max_slope_mgL_per_hour,reference_L_compatible,horizon_hours,n_sparse_reports,reference_occupation_hours,reference_deficit_mgL_hours,status,error,occupation_lower,occupation_upper,occupation_width_fraction,deficit_lower_mgL_hours,deficit_upper_unconstrained_mgL_hours,deficit_upper_nonnegative_mgL_hours,deficit_width_fraction_unconstrained_H_times_T,deficit_width_fraction_nonnegative_H_times_T,deficit_width_fraction_reduction,occupation_reference_covered,deficit_reference_covered
mddnr_Bishopville_Prong,0,2018-06-01 00:00:00+00:00,2018-06-08 00:00:00+00:00,5.0,0.5,0,13.203959999999936,False,168.0,337,156.4278493942599,533.5888360808075,feasible,,137.84791683707013,162.38335317586532,0.14604426392139996,285.74735005270435,784.0537553683489,693.6886889209893,0.5932219110900531,0.4856444510336726,0.10757746005638047,True,True
mddnr_Bishopville_Prong,0,2018-06-01 00:00:00+00:00,2018-06-08 00:00:00+00:00,5.0,0.5,1,13.203959999999936,False,167.5,336,155.98415570056622,533.1792977925192,feasible,,140.1641583282594,162.18417050642378,0.13146275927262324,307.4910469540748,797.6008186433082,698.222984009706,0.5852056975393832,0.46654559648433575,0.11866010105504748,True,True
mddnr_Bishopville_Prong,0,2018-06-01 00:00:00+00:00,2018-06-08 00:00:00+00:00,5.0,1.0,0,13.203959999999936,False,168.0,169,156.4278493942599,533.5888360808075,feasible,,79.1929087940288,164.852459413691,0.5098782774979893,148.59137713231553,1057.1953773434004,754.0643934639603,1.08167142882272,0.7208012099186247,0.3608702189040953,True,True
mddnr_Bishopville_Prong,0,2018-06-01 00:00:00+00:00,2018-06-08 00:00:00+00:00,5.0,1.0,1,13.203959999999936,False,167.0,168,155.98415570056622,533.1792977925192,feasible,,81.14005192381723,164.03573776351942,0.4963813523335461,157.98722883135147,1065.6519829738015,752.4969602151169,1.087023657655629,0.7119877022560066,0.3750359553996223,True,True
mddnr_Bishopville_Prong,0,2018-06-01 00:00:00+00:00,2018-06-08 00:00:00+00:00,5.0,1.0,2,13.203959999999936,False,167.0,168,155.73415570056622,532.8605477925192,feasible,,79.95025734703883,164.74688805479565,0.5077642557350708,148.65649396090382,1062.8066650843211,758.6802845692351,1.094790624099901,0.7305674139021932,0.36422321019770787,True,True
mddnr_Bishopville_Prong,0,2018-06-01 00:00:00+00:00,2018-06-08 00:00:00+00:00,5.0,1.0,3,13.203959999999936,False,167.0,168,155.48415570056622,532.4767977925192,feasible,,83.21367226195827,165.05285687021168,0.49005499765421207,162.48384196862256,1084.0342469915677,762.6671854141031,1.1036531796681979,0.7187824472400964,0.38487073242810144,True,True
mddnr_Bishopville_Prong,0,2018-06-01 00:00:00+00:00,2018-06-08 00:00:00+00:00,5.0,2.0,0,13.203959999999936,False,168.0,85,156.4278493942599,533.5888360808075,feasible,,39.63053508189985,166.75946307016983,0.756719809453988,75.38310476554034,1615.1966180792979,797.5236898627377,1.833111325373521,0.8596911727347587,0.9734201526387622,True,True
mddnr_Bishopville_Prong,0,2018-06-01 00:00:00+00:00,2018-06-08 00:00:00+00:00,5.0,2.0,1,13.203959999999936,False,166.0,84,155.98415570056622,533.1792977925192,feasible,,38.761856291597546,164.98818233317883,0.7603995544673571,74.86433236695689,1592.1242408014516,786.7360360073798,1.8280239860656562,0.8576767513740035,0.9703472346916527,True,True
mddnr_Bishopville_Prong,0,2018-06-01 00:00:00+00:00,2018-06-08 00:00:00+00:00,5.0,2.0,2,13.203959999999936,False,166.0,84,155.73415570056622,532.8605477925192,feasible,,39.02768563370408,165.2903644058298,0.7606185468200344,71.41896067543435,1599.7786414509546,793.0214647726891,1.8413972057536387,0.86940060734609,0.9719965984075487,True,True
mddnr_Bishopville_Prong,0,2018-06-01 00:00:00+00:00,2018-06-08 00:00:00+00:00,5.0,2.0,3,13.203959999999936,False,166.0,84,155.48415570056622,532.4767977925192,feasible,,40.9202996676757,165.04195408044254,0.747720809715463,79.05297728863192,1620.802243203761,793.608466702414,1.8575292360423243,0.860910228209376,0.9966190078329483,True,True
