cadence_hours,cases,min_sparse_reports,max_sparse_reports,min_permitted_replacement_fraction,max_permitted_replacement_fraction,median_occupation_width_fraction_k0,median_occupation_width_fraction_k1,median_occupation_width_fraction_increase,median_deficit_width_fraction_k0,median_deficit_width_fraction_k1,median_deficit_width_fraction_increase,p90_occupation_width_fraction_k1,p90_deficit_width_fraction_k1,max_occupation_width_fraction_k1,max_deficit_width_fraction_k1,cases_occupation_width_increased,cases_deficit_width_increased,cases_any_endpoint_uses_deletion,occupation_containment_failures_k1,deficit_containment_failures_k1,nesting_failures
0.5,16,336,337,0.002967359050445104,0.002976190476190476,0.41044653756991356,0.41347130264367593,0.0030561682506234436,0.07423376340624101,0.07633947869164973,0.0019616895368527454,0.6437522836319584,0.14752252916718106,0.6786497961145554,0.1615401926638265,16,16,16,0,0,0
1.0,32,168,169,0.005917159763313609,0.005952380952380952,0.6982782320085307,0.7018019435396006,0.004118879085131755,0.33073427590297755,0.3357700992114378,0.005046988154110484,0.8359283722776474,0.46027100978210883,0.8422551156730895,0.46639412603433733,32,32,32,0,0,0
2.0,64,84,85,0.011764705882352941,0.011904761904761904,0.8490663644280211,0.8524789952572462,0.0037821804243683976,0.6599255528197319,0.6655211906672605,0.005730734403698867,0.9203684495235583,0.7333124816114849,0.9228508190879718,0.7357948511758983,64,64,64,0,0,0
4.0,128,42,43,0.023255813953488372,0.023809523809523808,0.9250501224112972,0.9281718794411944,0.003718242743486533,0.8305801939832262,0.835911582023684,0.005759609357188722,0.9613580713031363,0.8689819988857101,0.9636518874345089,0.8712923077991603,128,128,128,0,0,0
