dataset_id,block_start,block_end,n_observations,threshold_mgL,state_lower_bound_mgL,L_kind,L_mgL_per_hour,k_min,k_min_fraction,occupation_lower_hours,occupation_upper_hours,occupation_width_fraction,deficit_lower_mgL_hours,deficit_upper_unconstrained_mgL_hours,deficit_upper_nonnegative_mgL_hours,deficit_width_fraction_unconstrained_H_times_T,deficit_width_fraction_nonnegative_H_times_T,deficit_width_fraction_reduction,feasibility_deleted_indices,deficit_upper_deleted_indices_nonnegative
mddnr_Greys_Creek,2018-06-01 00:00:00+00:00,2018-06-02 00:00:00+00:00,97,5.0,0.0,calibration_q999,13.203959999999936,3,0.030927835051546393,0.0,1.0947283996619035,0.04561368331924598,0.0,0.24264493194654901,0.24264493194654901,0.002022041099554575,0.002022041099554575,0.0,"[64, 65, 72]","[64, 65, 72]"
mddnr_Greys_Creek,2018-06-01 00:00:00+00:00,2018-06-02 00:00:00+00:00,97,5.0,0.0,grid_16,16.0,1,0.010309278350515464,0.0,2.125624999999996,0.08856770833333316,0.0,0.7241734374999984,0.7241734374999984,0.00603477864583332,0.00603477864583332,0.0,[64],[64]
mddnr_Greys_Creek,2018-06-01 00:00:00+00:00,2018-06-02 00:00:00+00:00,97,5.0,0.0,calibration_max,25.519999999999996,0,0.0,0.0,4.789968652037624,0.19958202716823434,0.0,3.887431426332288,3.887431426332288,0.0323952618861024,0.0323952618861024,0.0,[],[]
mddnr_Greys_Creek,2018-06-01 00:00:00+00:00,2018-06-02 00:00:00+00:00,97,5.0,0.0,grid_32,32.0,0,0.0,0.0,6.859375000000002,0.28580729166666674,0.0,7.350940624999996,7.350940624999996,0.06125783854166664,0.06125783854166664,0.0,[],[]
mddnr_Greys_Creek,2018-06-01 00:00:00+00:00,2018-06-02 00:00:00+00:00,97,5.0,0.0,grid_64,64.0,0,0.0,0.0,13.83328125000001,0.5763867187500004,0.0,37.44262304687504,36.22717773437504,0.31202185872395866,0.30189314778645865,0.010128710937500007,[],[]
mddnr_Harris_Creek_Upstream,2018-06-01 00:00:00+00:00,2018-06-02 00:00:00+00:00,97,5.0,0.0,grid_4,4.0,0,0.0,0.0,0.36749999999999816,0.015312499999999923,0.0,0.028493750000000182,0.028493750000000182,0.0002374479166666682,0.0002374479166666682,0.0,[],[]
mddnr_Harris_Creek_Upstream,2018-06-01 00:00:00+00:00,2018-06-02 00:00:00+00:00,97,5.0,0.0,grid_8,8.0,0,0.0,0.0,2.524999999999996,0.10520833333333317,0.0,0.5628812499999973,0.5628812499999973,0.0046906770833333115,0.0046906770833333115,0.0,[],[]
mddnr_Harris_Creek_Upstream,2018-06-01 00:00:00+00:00,2018-06-02 00:00:00+00:00,97,5.0,0.0,calibration_q999,13.203959999999936,0,0.0,0.0,7.91998309598022,0.3299992956658425,0.0,3.149094561188404,3.149094561188404,0.026242454676570034,0.026242454676570034,0.0,[],[]
mddnr_Harris_Creek_Upstream,2018-06-01 00:00:00+00:00,2018-06-02 00:00:00+00:00,97,5.0,0.0,grid_16,16.0,0,0.0,0.0,10.395000000000003,0.43312500000000015,0.0,5.550281250000008,5.550281250000008,0.04625234375000007,0.04625234375000007,0.0,[],[]
mddnr_Harris_Creek_Upstream,2018-06-01 00:00:00+00:00,2018-06-02 00:00:00+00:00,97,5.0,0.0,calibration_max,25.519999999999996,0,0.0,0.0,15.451018808777434,0.6437924503657264,0.0,16.540067594043904,16.540067594043904,0.13783389661703255,0.13783389661703255,0.0,[],[]
mddnr_Harris_Creek_Upstream,2018-06-01 00:00:00+00:00,2018-06-02 00:00:00+00:00,97,5.0,0.0,grid_32,32.0,0,0.0,0.0,17.18218749999999,0.7159244791666662,0.0,25.139975781249966,25.139975781249966,0.20949979817708306,0.20949979817708306,0.0,[],[]
mddnr_Harris_Creek_Upstream,2018-06-01 00:00:00+00:00,2018-06-02 00:00:00+00:00,97,5.0,0.0,grid_64,64.0,0,0.0,0.0,20.591093750000006,0.8579622395833336,0.0,70.93436289062501,65.45546875000004,0.5911196907552084,0.5454622395833336,0.04565745117187481,[],[]
