cadence_hours,compatible_station_blocks,compatible_stations,within_block_phase_cases,median_block_occupation_width_fraction,q25_block_occupation_width_fraction,q75_block_occupation_width_fraction,median_block_deficit_width_fraction,q25_block_deficit_width_fraction,q75_block_deficit_width_fraction,median_block_occupation_k1_increase,median_block_deficit_k1_increase
0.5,36,9,72,0.3122613412033439,0.1621353032484031,0.3970513625787229,0.0431721647260266,0.0180929708702989,0.0921025849988261,0.0029691056944401,0.0018695691898713
1.0,36,9,144,0.6009288251146369,0.5293980470072732,0.6615967124215829,0.2785371176056024,0.204525900987091,0.3238831555021343,0.0041722195734675,0.0049035110877732
2.0,36,9,288,0.8002949425504584,0.7645889237974861,0.8312561269954171,0.6182954168148964,0.5832758022173474,0.6447027633699485,0.0041615064638278,0.0064358876067773
4.0,36,9,576,0.9002170191514602,0.8829861850757407,0.9161086393224672,0.8096630692979828,0.7918330524493788,0.8223658650301992,0.004110001293773,0.0064189907846567
