cadence_hours,cases,sparse_reports_min,sparse_reports_max,permitted_fraction_percent_min,permitted_fraction_percent_max,median_occupation_width_k0,median_occupation_width_k1,median_paired_occupation_increase,median_deficit_width_k0,median_deficit_width_k1,median_paired_deficit_increase,cases_any_endpoint_uses_deletion,diagnostic_failures
0.5,16,336,337,0.29673590504451003,0.29761904761904,0.4104465375699135,0.4134713026436759,0.0030561682506234,0.074233763406241,0.0763394786916497,0.0019616895368527,16,0
1.0,32,168,169,0.59171597633136,0.59523809523809,0.6982782320085307,0.7018019435396006,0.0041188790851317,0.3307342759029775,0.3357700992114378,0.0050469881541104,32,0
2.0,64,84,85,1.17647058823529,1.19047619047619,0.8490663644280211,0.8524789952572462,0.0037821804243683,0.6599255528197319,0.6655211906672605,0.0057307344036988,64,0
4.0,128,42,43,2.32558139534883,2.38095238095238,0.9250501224112972,0.9281718794411944,0.0037182427434865,0.8305801939832262,0.835911582023684,0.0057596093571887,128,0
