cadence_hours,compatible_station_blocks,compatible_stations,within_block_phase_cases,median_block_occupation_width,q25_block_occupation_width,q75_block_occupation_width,median_block_deficit_width,q25_block_deficit_width,q75_block_deficit_width,median_block_occupation_k1_increase,median_block_deficit_k1_increase
0.5,8,2,16,0.41067133147045565,0.12017967626012845,0.583699117024087,0.07435643032116768,0.009592878792734013,0.1303388248881055,0.00305306048169555,0.0019989771522718
1.0,8,2,32,0.699644616372628,0.5249221161286574,0.79156645403403,0.33246569646100177,0.18959233358417074,0.4184140316852917,0.003970411126707325,0.00502407292173135
2.0,8,2,64,0.8501095789285081,0.7628906655773726,0.8959190504814158,0.6607724406760435,0.5735498836993468,0.7084702719888656,0.0037388381879010996,0.0058288875148335
4.0,8,2,128,0.9250709820313326,0.881598521510686,0.9479444504073549,0.8305187374866616,0.7869281083538908,0.8539584258314519,0.003583551689851475,0.0056952264837916745
